nama_kamus,jumlah_bold,jumlah_italic,mean_ukuran_char,banyak_halaman
13. Kamus Bahasa Indonesia-Bahasa Sunda I (1993)-hasil-ekstraksi.csv,317,22602,10.55,408
50. Kamus Indonesia-Jawa Kuno (1992)-hasil-ekstraksi.csv,13,3312,9.59,172
37. Kamus Bahasa Indonesia Bakumpai II (1995)-hasil-ekstraksi.csv,42,22995,10.64,250
74. Kamus Bahasa Melayu Bangka-Indonesia (2018)-hasil-ekstraksi.csv,3627,0,11.98,156
79. Kamus Bahasa Jawa-Bahasa Indonesia II (1993)-hasil-ekstraksi.csv,13,7670,10.89,415
25. Kamus Bahasa Indonesia Jambi L-Z (1997)-hasil-ekstraksi.csv,136,32818,11.26,332
48. Kamus Muna-Indonesia (1985)-hasil-ekstraksi.csv,124,10311,9.78,140
11. Kamus Suwawa-Indonesia (1985)-hasil-ekstraksi.csv,4,34930,9.41,335
67. Kamus Aceh Indonesia (A-L) (1985)-hasil-ekstraksi.csv,112,48446,9.66,560
94. Kamus Bahasa Madura-Indonesia (1977)-hasil-ekstraksi.csv,126,14027,7.9,208
3. Kamus Bahasa Gorontalo-Indonesia (2001)-hasil-ekstraksi.csv,62,37205,8.19,302
22. Kamus Bahasa Gorontalo-Indonesia (1977)-hasil-ekstraksi.csv,37,37556,8.42,302
84. Kamus Bahasa Biak - Indonesia (1977) -hasil-ekstraksi.csv,1,9565,8.33,79
